user_id,hit_A,hit_B
42237,1,1
58082,1,1
71482,1,1
47795,0,0
35382,0,0
12704,1,1
40538,1,1
44942,1,0
4207,1,1
34671,1,1
30982,1,0
29219,0,0
13947,1,1
48944,1,1
57433,1,1
73519,1,1
61953,0,0
35697,1,1
70284,0,0
25825,0,0
27760,0,0
40687,0,0
5778,1,1
9171,0,0
20635,0,0
67391,0,0
62296,0,0
71200,0,0
5482,1,1
49695,1,1
34970,1,1
49672,1,1
53528,1,1
24356,1,1
26062,1,1
48434,0,1
12676,1,1
1504,1,1
1025,0,0
21178,0,0
2552,1,1
61348,0,0
54040,1,1
38427,1,1
25112,1,1
9116,0,1
20866,1,1
72692,1,1
4722,0,0
60946,1,1
6006,0,0
55296,0,0
74341,1,1
1267,1,1
31571,1,1
30495,1,0
36463,1,1
69163,1,1
36585,1,1
36421,1,1
40306,0,0
72603,1,1
4117,1,1
14322,1,1
73000,0,0
14621,1,1
65909,1,1
56498,1,1
76503,1,1
34335,1,1
36517,1,1
34718,0,0
27869,1,0
51856,1,1
60217,1,1
17361,0,0
31195,1,1
37353,1,1
33386,1,0
34973,1,1
37388,1,1
51876,0,0
52383,1,1
32953,1,0
6630,1,1
13577,0,0
425,1,1
12833,0,0
3617,1,1
6658,1,1
29256,1,0
1934,1,1
71819,1,1
464,0,0
8907,0,0
41347,1,1
45082,1,0
18373,1,0
59177,1,1
39321,1,1
